,states_missing
0,Alabama
1,Virginia
2,Minnesota
3,Delaware
4,Wyoming
5,Indiana
6,Iowa
7,Vermont
8,Illinois
9,Kentucky
10,Mississippi
11,Maryland
12,Rhode Island
13,North Dakota
14,Michigan
15,Pennsylvania
16,Maine
17,New Jersey
18,Kansas
19,New Hampshire
20,Connecticut
21,Utah
22,Colorado
23,Georgia
24,Oklahoma
25,West Virginia
26,Arkansas
27,Missouri
28,Arizona
29,South Dakota
30,Louisiana
31,Wisconsin
32,New Mexico
33,Nebraska
34,Nevada
35,Tennessee
36,Massachusetts
